timestamp,current_task,EE_x,EE_y,EE_z,EE_rx,EE_ry,EE_rz,joint1_angle,joint2_angle,joint3_angle,joint4_angle,joint5_angle,joint6_angle,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,joint5_velocity,joint6_velocity,joint1_torque,joint2_torque,joint3_torque,joint4_torque,joint5_torque,joint6_torque,joint1_acceleration,joint2_acceleration,joint3_acceleration,joint4_acceleration,joint5_acceleration,joint6_acceleration,waypoint
2026-01-26 04:30:41.702,home_start,-6.635,676.472,1741.666,-16.931,88.633,-106.523,90.579,27.203,-137.641,0.51,19.131,179.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-2.42,-1.68,0.21,-1.03,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,waypoint
2026-01-26 04:30:41.804,home_start,-6.635,676.472,1741.666,-16.931,88.633,-106.523,90.579,27.203,-137.641,0.51,19.131,179.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-4.38,-3.02,0.23,-1.79,0.02,0.0,0.0,0.0,0.0,0.0,0.0,
2026-01-26 04:30:41.905,home_start,-6.635,676.472,1741.666,-16.931,88.633,-106.523,90.579,27.203,-137.641,0.51,19.131,179.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-6.04,-3.97,0.27,-2.3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-01-26 04:30:42.107,home_start,-6.635,676.472,1741.666,-16.931,88.633,-106.523,90.579,27.203,-137.641,0.51,19.131,179.92,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-8.21,-5.64,0.32,-3.21,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,
2026-01-26 04:30:42.312,home_start,-6.635,676.472,1741.666,-16.931,88.633,-106.523,90.579,27.203,-137.641,0.51,19.131,179.92,0.0,0.0,0.0,0.0,0.0,0.0,0.08,-9.61,-6.55,0.45,-3.85,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,
2026-01-26 04:30:42.413,home_start,-6.635,676.472,1741.666,-16.931,88.633,-106.523,90.579,27.203,-137.641,0.51,19.131,179.92,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-10.12,-6.94,0.49,-4.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,
2026-01-26 04:30:42.615,home_start,-6.635,676.472,1741.666,-16.931,88.633,-106.523,90.579,27.203,-137.641,0.51,19.131,179.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-10.85,-7.46,0.51,-4.4,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,
2026-01-26 04:30:42.817,home_start,-6.635,676.472,1741.666,-16.931,88.633,-106.523,90.579,27.203,-137.641,0.51,19.131,179.92,0.0,0.0,0.0,0.0,0.0,0.0,0.08,-11.39,-7.7,0.47,-4.49,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,
2026-01-26 04:30:42.918,home_start,-6.635,676.472,1741.666,-16.931,88.633,-106.523,90.579,27.203,-137.641,0.51,19.131,179.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,-11.54,-7.81,0.57,-4.58,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-01-26 04:30:43.123,home_start,-6.635,676.472,1741.666,-16.931,88.633,-106.523,90.579,27.203,-137.641,0.51,19.131,179.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-11.81,-8.04,0.56,-4.64,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,
2026-01-26 04:30:43.326,home_start,-6.635,676.472,1741.666,-16.931,88.633,-106.523,90.579,27.203,-137.641,0.51,19.131,179.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-11.89,-8.18,0.57,-4.71,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,
2026-01-26 04:30:43.426,home_to_approach_feeder,-6.29,729.805,1693.019,-13.821,88.682,-103.49,90.511,21.257,-137.608,0.415,25.07,179.943,-0.171,-14.865,0.085,-0.238,14.849,0.057,0.09,-9.77,-6.72,0.43,-4.66,-0.04,-0.686,-59.459,0.339,-0.95,59.397,0.229,
2026-01-26 04:30:43.526,home_to_approach_feeder,-5.565,795.628,1615.971,-9.453,88.742,-99.196,90.414,12.912,-137.56,0.282,33.406,179.975,-0.369,-32.011,0.183,-0.512,31.977,0.123,0.11,-7.95,-5.8,0.37,-4.69,-0.07,-0.894,-77.504,0.445,-1.239,77.422,0.296,
2026-01-26 04:30:43.627,home_to_approach_feeder,-4.715,844.298,1540.005,-5.887,88.788,-95.666,90.329,5.489,-137.517,0.163,40.821,180.003,-0.491,-42.565,0.244,-0.68,42.52,0.163,0.13,-6.37,-5.15,0.37,-4.81,-0.02,-0.698,-60.53,0.347,-0.968,60.466,0.231,
2026-01-26 04:30:43.730,home_to_approach_feeder,-3.797,879.963,1465.42,-3.173,88.824,-92.963,90.25,-1.307,-137.478,0.054,47.61,180.029,-0.564,-48.915,0.28,-0.782,48.863,0.187,0.2,-5.08,-4.7,0.19,-4.82,-0.04,-0.556,-48.215,0.277,-0.771,48.163,0.184,
2026-01-26 04:30:43.835,home_to_approach_feeder,-2.897,904.034,1396.162,-1.405,88.854,-91.191,90.181,-7.33,-137.444,-0.042,53.627,180.052,-0.597,-51.744,0.297,-0.827,51.689,0.198,0.19,-3.98,-4.42,0.14,-5.02,-0.03,-0.411,-35.661,0.205,-0.57,35.623,0.136,
2026-01-26 04:30:43.936,home_to_approach_feeder,-2.024,919.557,1331.117,-0.456,88.88,-90.227,90.118,-12.82,-137.412,-0.13,59.111,180.073,-0.606,-52.532,0.301,-0.84,52.477,0.201,0.22,-3.16,-4.21,0.22,-5.11,-0.03,-0.309,-26.761,0.154,-0.428,26.732,0.102,
